A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
Q03586	DNA-directed RNA polymerase subunit Rpo1C (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A'')
Q04810	Dipicolinate synthase subunit B (DPA synthase subunit B) (EC 1.3.1.-) (Spore dipicolinate synthase subunit B) (Stage V sporulation protein FB)
Q05373	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
Q06700	Glutaconyl-CoA decarboxylase subunit alpha (EC 7.2.4.5) (Carboxyltransferase)
Q07397	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
Q07944	Benzene 1,2-dioxygenase subunit alpha (EC 1.14.12.3)
Q07945	Benzene 1,2-dioxygenase subunit beta (EC 1.14.12.3)
Q07946	Benzene 1,2-dioxygenase system ferredoxin--NAD(+) reductase subunit (EC 1.18.1.3)
Q08636	V-type sodium ATPase catalytic subunit A (EC 7.2.2.1) (Na(+)-translocating ATPase subunit A) (V-type sodium pump catalytic subunit A)
Q08716	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
Q09053	Methanol dehydrogenase [cytochrome c] subunit 2 (EC 1.1.2.7) (MDH small subunit beta)
Q0P3P1	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)
Q0QEP2	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)
Q0QLE1	2,3-dimethylmalate dehydratase small subunit (EC 4.2.1.85)
Q0QLE2	2,3-dimethylmalate dehydratase large subunit (EC 4.2.1.85)
Q0S808	Flavin-dependent monooxygenase, reductase subunit HsaB (EC 1.5.1.36) (3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4-hydroxylase, reductase subunit) (Flavin:NADH reductase)
Q0S811	Flavin-dependent monooxygenase, oxygenase subunit HsaA (EC 1.14.14.12) (3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4-hydroxylase, oxygenase subunit) (3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase)
Q0SJK9	Propane 2-monooxygenase, hydroxylase component large subunit (PrMO) (EC 1.14.13.227)
Q182S6	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q18CI5	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q1QWP0	(2R)-sulfolactate sulfo-lyase subunit beta (EC 4.4.1.24) (Sulfolactate sulfo-lyase B)
Q1RK29	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
Q23883	NADH-ubiquinone oxidoreductase 49 kDa subunit (EC 7.1.1.2) (NADH dehydrogenase subunit 7)
Q2A273	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q2A4H7	DNA-directed RNA polymerase subunit alpha 2 (RNAP subunit alpha 2) (EC 2.7.7.6) (RNA polymerase subunit alpha 2) (Transcriptase subunit alpha 2)
Q2RFX7	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q2RFX9	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
Q2RI41	Oxalate oxidoreductase subunit alpha (OOR subunit alpha) (EC 1.2.7.10)
Q2RI42	Oxalate oxidoreductase subunit beta (OOR subunit beta) (EC 1.2.7.10)
Q2RSB4	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta) (Proton-translocating transhydrogenase NADP(H)-binding component) (Pyridine nucleotide transhydrogenase subunit beta) (dIII)
Q30WH3	Siroheme decarboxylase beta subunit (EC 4.1.1.111)
Q30Y72	Siroheme decarboxylase alpha subunit (EC 4.1.1.111)
Q31L30	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q31QV2	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)
Q35916	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)
Q3UV70	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)
Q45601	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
Q45695	2,4-dinitrotoluene dioxygenase system, large oxygenase component (EC 1.14.12.24) (2,4-dinitrotoluene dioxygenase ISP alpha) (2,4-dinitrotoluene dioxygenase subunit alpha)
Q46336	Sarcosine oxidase subunit delta (Sarcosine oxidase subunit D) (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit delta) (Tetrameric sarcosine oxidase subunit delta) (TSOX subunit delta)
Q46372	Biphenyl dioxygenase subunit alpha (EC 1.14.12.18) (Biphenyl 2,3-dioxygenase)
Q46373	Biphenyl dioxygenase subunit beta (EC 1.14.12.18) (Biphenyl 2,3-dioxygenase)
Q46506	NADP-reducing hydrogenase subunit HndB (EC 1.12.1.3) (Hydrogen dehydrogenase (NADP(+)))
Q46CH5	Siroheme decarboxylase beta subunit (EC 4.1.1.111) (SH decarboxylase AhbAB)
Q46CH6	Siroheme decarboxylase alpha subunit (EC 4.1.1.111) (SH decarboxylase AhbAB)
Q48332	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)
Q49605	Methyl-coenzyme M reductase I subunit alpha (MCR I alpha) (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase alpha)
Q4A0J3	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
Q4A0J4	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
Q4L5E3	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q4PJX5	Pyridoxal 5'-phosphate synthase subunit Pdx2 (EC 4.3.3.6) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q4Q0R9	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)
Q50539	Acetyl-CoA decarbonylase/synthase complex subunit gamma 1 (ACDS complex subunit gamma 1) (EC 2.1.1.245) (5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein Co-methyltransferase 1) (ACDS complex methyltransferase 1) (Corrinoid/iron-sulfur component large subunit 1)
Q505J8	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q50755	H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit B (EC 1.8.98.5) (CoB--CoM heterodisulfide reductase subunit B)
Q51602	2-halobenzoate 1,2-dioxygenase small subunit (EC 1.14.12.13) (2-chlorobenzoate 1,2-dioxygenase)
Q51697	Isoquinoline 1-oxidoreductase subunit alpha (EC 1.3.99.16)
Q51800	Ketoisovalerate oxidoreductase subunit VorD (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit delta) (2-oxoisovalerate oxidoreductase delta chain)
Q51805	Pyruvate synthase subunit PorB (EC 1.2.7.1) (Pyruvate oxidoreductase beta chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit beta)
Q51974	p-cumate 2,3-dioxygenase system, large oxygenase component (EC 1.14.12.25) (Large terminal subunit of p-cumate dioxygenase) (p-cumate 2,3-dioxygenase large subunit) (p-cumate 2,3-dioxygenase subunit alpha)
Q53117	Nitrile hydratase subunit beta (NHase) (Nitrilase) (EC 4.2.1.84)
Q53123	Biphenyl 2,3-dioxygenase subunit beta (EC 1.14.12.18) (Biphenyl dioxygenase system, oxygenase component subunit beta) (BDO, oxygenase component subunit beta) (Terminal oxygenase component of biphenyl dioxygenase, small subunit)
Q54C70	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (PDHE1-A) (EC 1.2.4.1)
Q54J47	Probable pyridoxal 5'-phosphate synthase subunit pdx1 (PLP synthase subunit pdx1) (EC 4.3.3.6)
Q54J48	Probable pyridoxal 5'-phosphate synthase subunit pdx2 (EC 4.3.3.6) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q55338	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Q56317	Pyruvate synthase subunit PorB (EC 1.2.7.1) (Pyruvate oxidoreductase beta chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit beta)
Q56403	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)
Q56408	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c ba(3) subunit I) (Cytochrome c oxidase polypeptide I) (Cytochrome cba3 subunit 1)
Q56586	Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A)
Q57111	Methylmalonyl-CoA decarboxylase subunit gamma (EC 7.2.4.3)
Q57168	Type I restriction enzyme HindI methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.HindI) (M.HindI) (Type I restriction enzyme HindVIIP methylase subunit)
Q57648	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D) (mjD)
Q57832	DNA-directed RNA polymerase subunit Rpo11 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit L) (mjL)
Q58090	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
Q58256	Methyl-coenzyme M reductase I subunit alpha (MCR I alpha) (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase alpha)
Q58261	Tetrahydromethanopterin S-methyltransferase subunit A (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)
Q58443	DNA-directed RNA polymerase subunit Rpo5 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit H)
Q58531	GMP synthase [glutamine-hydrolyzing] subunit B (EC 6.3.5.2) (GMP synthetase)
Q58643	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
Q58657	Translation initiation factor 2 subunit gamma (EC 3.6.5.3) (aIF2-gamma) (eIF-2-gamma)
Q58976	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Q58988	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)
Q58Y43	(2R)-sulfolactate sulfo-lyase subunit beta (EC 4.4.1.24) (Sulfolactate sulfo-lyase B)
Q59055	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q5HZE4	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)
Q5I0K7	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation 13 homolog)
Q5JE31	DNA-directed RNA polymerase subunit Rpo5 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit H)
Q5JE34	DNA-directed RNA polymerase subunit Rpo1C (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A'')
Q5JE88	DNA-directed RNA polymerase subunit Rpo11 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit L)
Q5JJD0	DNA-directed RNA polymerase subunit Rpo6 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit K)
Q5JJF4	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D)
Q5KUJ1	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q5KUJ3	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
Q5L3Y1	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q5L3Y2	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
Q5NHF3	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)
Q5SGX2	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q5SJD8	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
Q5SK01	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)
Q5SKD6	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q5SKD9	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
Q5SKW7	Probable glycine dehydrogenase (decarboxylating) subunit 2 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 2) (Glycine decarboxylase subunit 2) (Glycine dehydrogenase (aminomethyl-transferring) subunit 2)
Q5SLR3	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDH E1-beta)
Q5SLR4	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDH E1-alpha)
Q5SM60	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
Q5XAP2	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q5ZJQ2	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q60351	DNA-directed RNA polymerase subunit Rpo4 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit F) (mjF)
Q63X76	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
Q6GG07	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
Q6K9N6	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)
Q6LWM0	Sulfopyruvate decarboxylase subunit beta (EC 4.1.1.79)
Q6LY38	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit B1 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase subunit B1)
Q6LYD8	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit B2 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase subunit B2)
Q6P6J0	tRNA-specific adenosine deaminase 2 (EC 3.5.4.33) (Deaminase domain-containing protein 1) (tRNA-specific adenosine-34 deaminase subunit ADAT2)
Q6YXQ2	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)
Q6ZL94	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
Q725I2	Siroheme decarboxylase beta subunit (EC 4.1.1.111)
Q726X4	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q727F4	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Q728R9	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q72AV5	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
Q72C59	Probable glycine dehydrogenase (decarboxylating) subunit 1 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 1) (Glycine decarboxylase subunit 1) (Glycine dehydrogenase (aminomethyl-transferring) subunit 1)
Q72CF4	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q72DS5	Siroheme decarboxylase alpha subunit (EC 4.1.1.111)
Q72E02	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q74HL7	NADH-dependent flavin reductase subunit 1 (EC 1.5.1.36)
Q74HL8	NADH-dependent flavin reductase subunit 2 (EC 1.5.1.36)
Q768T3	Propane 2-monooxygenase, hydroxylase component small subunit (Prm) (EC 1.14.13.227) (Phenol 4-monooxygenase)
Q768T5	Propane 2-monooxygenase, hydroxylase component large subunit (Prm) (EC 1.14.13.227) (Phenol 4-monooxygenase)
Q76KA7	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS) (Tk-PheRSB)
Q76KA8	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS) (Tk-pheRSA)
Q79VJ4	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
Q7BUE1	Putative UDP-kanosamine synthase oxidoreductase subunit (EC 1.1.1.-) (UDP-glucose 3-dehydrogenase)
Q7JP68	cAMP-dependent protein kinase, catalytic subunit-like (EC 2.7.11.11)
Q7M825	8-methylmenaquinol:fumarate reductase membrane anchor subunit (MFR membrane anchor subunit) (EC 1.3.5.-)
Q7MTP0	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q7SIB9	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
Q7SID3	Cobalt-containing nitrile hydratase subunit beta (L-NHase) (L-nitrilase) (EC 4.2.1.84)
Q7TXH6	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q7U5I8	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
Q7V6F8	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
Q7VD37	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)
Q7VD38	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)
Q7VD39	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q83AC2	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
Q83AF7	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q84BZ2	Anthranilate 1,2-dioxygenase small subunit (EC 1.14.12.1)
Q84JL2	2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)
Q86HX0	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
Q87WW0	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)
Q89Z59	Type I restriction enzyme BthVORF4518P methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.BthVORF4518P) (M.BthVORF4518P)
Q8BUY9	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta) (GGTase-I-beta) (Type I protein geranyl-geranyltransferase subunit beta)
Q8C0C7	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q8CBY0	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)
Q8DGC6	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)
Q8DGH2	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)
Q8DKZ3	NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L)
Q8G2Q0	Urease subunit gamma 1 (EC 3.5.1.5) (Urea amidohydrolase subunit gamma 1)
Q8GBW6	Methylmalonyl-CoA carboxyltransferase 12S subunit (EC 2.1.3.1) (Transcarboxylase 12S subunit)
Q8L1D5	Glycerol dehydrogenase small subunit (EC 1.1.99.22) (D-arabitol dehydrogenase small subunit) (ARDH) (D-sorbitol dehydrogenase subunit SldB) (SLDH) (Gluconate/polyol dehydrogenase small subunit)
Q8LGI8	N-terminal acetyltransferase B complex catalytic subunit NAA20 (EC 2.3.1.254) (NatB N-alpha-terminal acetylation complex catalytic subunit)
